1_0_array_0_1 1_0_array_0_2 1_0_array_1_1 1_0_array_1_2 1_0_array_2_1 1_0_array_2_2
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
65.001 65.001 67.001 67.001 69.001 69.001
