1_2_array_0_1,1_2_array_0_2,1_2_array_1_1,1_2_array_1_2,1_2_array_2_1,1_2_array_2_2
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
-65000,-65000,-64998,-64998,-64996,-64996
